,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIFO,LIFO,LOR,LPT,LTPT,MOR,SPT,STPT,Random_Random Strategy,SoTA-PPO,GAT,GNN,GKAT,MAX,AVG,Padding_Zero,Bellman,D3QPN,GWO,GA,DE,Transfer-D3QPN,Optimal_strategy,MOR+LPT,LOR+SPT,FCFS*S,SI/Q
(10*10),Scheduling time,0.08,0.09,0.12,0.12,0.18,0.13,0.11,0.16,0.24,0.34,0.25,0.26,1.95,0.22,0.26,0.53,0.23,1.69,29.8,2.98,1265.41,0.29,,0.11,0.11,0.09,0.09
,Standard deviation,0,0,0,0,0,0,0,0,80.77,36.93,18.17,0,5.98,40.85,0,0,0,65.38,82.03,66.08,42.61,32.13,,64.64,37.31,47.85,47.91
orb04,MAKESPAN,1323,1477,1601,1415,1464,1287,1236,1351,1334,1273,1350,1339,1349,1433,1349,1237,1477,1174,1260,1341,1354,1061,1005,1407,1275,1267,1275
(10*10),Scheduling time,0.07,0.08,0.12,0.12,0.18,0.2,0.11,0.16,0.2,0.34,0.18,0.21,1.88,0.2,0.22,0.43,0.2,1.75,29.67,2.99,1262.87,0.21,,0.11,0.11,0.09,0.09
,Standard deviation,0,0,0,0,0,0,0,0,96.7,52.1,8.01,0,0,73.19,0,10.75,0,68.71,63.61,49.06,39.22,19.07,,50.43,66.81,43.59,72.58
orb05,MAKESPAN,1105,1197,1117,1099,1152,1050,1152,1198,1114,1194,1105,1162,1105,1168,1105,1152,1197,1122,1158,1262,1283,1011,887,1121,1120,1113,1112
(10*10),Scheduling time,0.06,0.08,0.14,0.1,0.11,0.1,0.11,0.14,0.2,0.36,0.2,0.21,1.83,0.19,0.2,0.41,0.19,1.62,27.97,3.06,1268.95,0.19,,0.09,0.09,0.08,0.08
,Standard deviation,0,0,0,0,0,0,0,0,45.35,46.92,0,0,0.7,59.02,0,0,0,59.57,68.03,50.33,35.82,5.52,,38.43,45.26,46.81,46.3
orb06,MAKESPAN,1344,1289,1418,1474,1407,1345,1190,1343,1336,1332,1382,1263,1385,1302,1385,1190,1289,1188,1347,1473,1461,1115,1010,1440,1231,1166,1224
(10*10),Scheduling time,0.07,0.08,0.16,0.13,0.14,0.14,0.17,0.16,0.2,0.36,0.23,0.21,1.88,0.22,0.23,0.53,0.22,1.7,27.6,3,1260.7,0.24,,0.11,0.1,0.09,0.09
,Standard deviation,0,0,0,0,0,0,0,0,88.89,38.44,15.09,0,0,26.81,0,0,0,43.77,76.73,59.38,44.97,38.76,,69.76,63.62,49.48,62.59
orb07,MAKESPAN,505,515,519,470,521,500,504,487,499,489,504,514,505,502,505,503,505,450,503,559,549,449,397,544,514,505,513
(10*10),Scheduling time,0.04,0.05,0.07,0.07,0.07,0.09,0.06,0.09,0.13,0.33,0.14,0.14,1.85,0.14,0.15,0.36,0.12,0.75,28.3,2.98,1265.97,0.14,,0.06,0.06,0.05,0.06
,Standard deviation,0,0,0,0,0,0,0,0,25.19,13.42,3.78,0,0,9.26,0,7,0,6.47,27.33,21.34,14.26,6.24,,23.25,22.44,18.1,21.72
orb08,MAKESPAN,1181,1194,1094,1176,1106,1278,1107,1245,1200,1324,1308,1297,1139,1242,1314,1108,1241,990,1220,1311,1329,1063,899,1183,1119,1112,1150
(10*10),Scheduling time,0.07,0.08,0.12,0.11,0.12,0.17,0.11,0.14,0.22,0.33,0.25,0.21,1.85,0.22,0.25,0.42,0.22,1.51,36.01,2.97,1257.81,0.21,,0.1,0.1,0.09,0.09
,Standard deviation,0,0,0,0,0,0,0,0,65.88,29.43,28.02,0,24.95,10.98,0,8.19,0,23.94,66.59,50.03,39.94,6.25,,54.91,41.84,56.74,48.22
orb09,MAKESPAN,1274,1300,1363,1268,1272,1165,1262,1205,1245,1171,1353,1205,1301,1298,1355,1262,1300,955,1192,1241,1268,1065,934,1293,1243,1202,1227
(10*10),Scheduling time,0.07,0.08,0.16,0.15,0.13,0.15,0.11,0.15,0.19,0.36,0.22,0.19,1.83,0.2,0.21,0.35,0.2,1.48,41.47,2.98,1267.4,0.18,,0.11,0.1,0.08,0.09
,Standard deviation,0,0,0,0,0,0,0,0,71.44,63.85,14.14,0,5.37,5.7,0,0,0,33.33,65.86,51.79,38.1,0,,52.92,55.28,44.4,51.26
orb10,MAKESPAN,1176,1315,1381,1254,1255,1256,1113,1162,1234,1242,1177,1154,1175,1202,1175,1113,1201,1136,1237,1362,1380,1207,944,1293,1152,1185,1175
(10*10),Scheduling time,0.07,0.08,0.19,0.15,0.14,0.11,0.11,0.15,0.18,0.36,0.21,0.21,1.74,0.2,0.2,0.42,0.19,1.66,43.83,2.99,1262.98,0.2,,0.1,0.1,0.09,0.09
,Standard deviation,0,0,0,0,0,0,0,0,67.63,50.27,16.38,0,4.88,2.46,0,0,0,60.12,74.57,59.59,41.19,18.54,,39.35,68.93,45.4,53.84
swv01,MAKESPAN,2025,1846,1838,2145,1961,1971,1737,1751,1992,2033,2029,1944,2030,2170,2030,1737,2173,1668,2314,2424,2409,1971,1407,2227,1674,1833,1685
(10*20),Scheduling time,0.27,0.21,0.4,0.54,0.43,0.49,0.29,0.41,0.85,0.73,1.22,1.51,4.57,0.86,0.88,2.46,0.8,6.42,45.42,3.07,1450.08,0.89,,0.3,0.27,0.25,0.24
,Standard deviation,0,0,0,0,0,0,0,0,106.31,57.66,5.67,0,0,21.32,0,0,0,60.66,95.5,74.26,62.32,0,,69.23,52.47,54.04,54.92
swv02,MAKESPAN,1984,1954,1949,2113,1968,2158,1706,1995,1993,2229,1893,2032,1893,1832,1893,1706,1826,1756,2375,2466,2479,2158,1475,2148,1828,1897,1814
(10*20),Scheduling time,0.2,0.21,0.3,0.45,0.45,0.5,0.3,0.4,0.83,0.76,1.04,1.54,4.41,0.78,0.79,2.19,0.79,5.36,46.01,3.1,1455.46,0.95,,0.3,0.28,0.24,0.25
,Standard deviation,0,0,0,0,0,0,0,0,103.35,58.07,1.19,0,0,31.73,0,0,0,9.25,103.99,92.08,53.1,6.65,,73.21,66.18,51.83,66.87
swv03,MAKESPAN,1901,1798,2113,2149,1919,1870,1806,1992,1955,1998,1861,1818,1859,1845,1859,1806,1843,1810,2279,2402,2383,1705,1398,2066,1772,1862,1761
(10*20),Scheduling time,0.2,0.22,0.41,0.42,0.38,0.34,0.29,0.42,0.82,0.77,0.96,1.09,4.41,0.82,0.73,2.21,0.79,5.6,46.91,3.06,1452.81,0.91,,0.29,0.27,0.24,0.24
,Standard deviation,0,0,0,0,0,0,0,0,101.58,45.06,9.5,0,0,13.88,0,0,0,83.47,90.65,75.22,52.43,0,,75.32,44.7,62.76,40.13
swv04,MAKESPAN,1975,1914,1942,2132,1943,2026,1874,1941,1972,2208,2039,2071,2039,1921,2039,1874,1924,1884,2399,2508,2499,1802,1464,2169,1849,1975,1837
(10*20),Scheduling time,0.2,0.21,0.35,0.4,0.35,0.38,0.47,0.42,0.79,0.78,1.14,1.28,4.49,0.75,0.82,2.53,0.76,6.11,45.9,3.07,1454.83,0.96,,0.3,0.28,0.25,0.25
,Standard deviation,0,0,0,0,0,0,0,0,95.31,71.47,5.27,0,0,15.28,0,0,0,49.45,95.14,81.87,50.31,2.89,,83.84,48.67,68.54,65.66
swv05,MAKESPAN,2095,1908,1993,2091,1752,2049,1922,2116,2020,2097,2198,1908,2199,2097,2199,1922,2099,1772,2337,2466,2447,1661,1424,2079,1903,2152,1920
(10*20),Scheduling time,0.21,0.22,0.44,0.6,0.49,0.45,0.46,0.41,0.9,0.78,1.18,1.4,4.56,0.8,0.87,2.44,0.82,5.69,40.72,3.06,1451.7,0.92,,0.29,0.29,0.25,0.22
,Standard deviation,0,0,0,0,0,0,0,0,90.56,47.37,5.39,0,0,14.28,0,0,0,65.95,100.48,81.05,51.19,7.06,,69.85,79.63,82.8,50.26
swv06,MAKESPAN,2639,2096,2383,2542,2327,2287,2140,2360,2363,2429,2280,2465,2280,2394,2280,2140,2395,2068,2929,3109,3006,2102,1671,2592,2228,2255,2222
(15*20),Scheduling time,0.34,0.34,0.64,0.74,0.69,0.55,0.6,0.87,1.49,1.19,1.82,2.07,6.86,1.22,1.43,4.31,1.34,12.92,44.47,3.16,1554.4,1.61,,0.49,0.47,0.41,0.34
,Standard deviation,0,0,0,0,0,0,0,0,112.84,62.74,0,0,0,9.06,0,0,0,110.59,114.58,90.75,64.68,0,,99.75,70.92,78.5,71.66
swv07,MAKESPAN,2178,2105,2311,2263,2273,2101,2146,2303,2250,2251,2432,2136,2433,2237,2433,2146,2236,2309,2741,2896,2840,2082,1594,2389,2070,2161,2063
(15*20),Scheduling time,0.32,0.44,0.59,0.7,0.66,0.57,0.68,0.74,1.49,1.2,1.74,2.17,6.97,1.48,1.51,4.06,1.47,11.54,49.98,3.16,1554.43,1.75,,0.49,0.46,0.41,0.32
,Standard deviation,0,0,0,0,0,0,0,0,108.85,67.94,9.85,0,0,7.56,0,0,0,61.63,118.61,102.67,61.69,5.37,,68.08,94.42,69.05,95.4
swv08,MAKESPAN,2465,2428,2442,2819,2326,2480,2231,2327,2407,2495,2437,2206,2437,2335,2437,2231,2334,2249,3045,3221,3183,2187,1752,2753,2267,2391,2262
(15*20),Scheduling time,0.34,0.35,0.65,0.83,0.95,0.65,0.71,0.75,1.53,1.2,1.65,2,6.99,1.25,1.45,4.42,1.26,11.76,51.16,3.12,1554.06,1.48,,0.52,0.47,0.41,0.34
,Standard deviation,0,0,0,0,0,0,0,0,118.41,72.45,0,0,0,8.96,0,0,0,75.46,113.93,94.25,61.72,1.49,,91.36,70.61,73.28,66.55
swv09,MAKESPAN,2439,2237,2389,2505,2194,2553,2247,2448,2377,2408,2482,2247,2482,2398,2482,2247,2402,2039,2941,3052,3046,2039,1655,2491,2183,2356,2227
(15*20),Scheduling time,0.33,0.36,0.81,0.73,0.65,0.7,0.8,0.61,1.52,1.2,1.46,2.2,6.92,1.29,1.32,4.65,1.35,11.04,60.06,3.15,1550.77,1.54,,0.5,0.47,0.42,0.34
,Standard deviation,0,0,0,0,0,0,0,0,117.44,62.77,0,0,0,15.33,0,0,0,103.2,110.95,96.67,69.63,0,,109.32,85.95,87.77,75.92
swv10,MAKESPAN,2513,2267,2338,2637,2284,2431,2337,2325,2393,2425,2481,2287,2481,2475,2481,2337,2476,2160,2981,3173,3082,2160,1743,2537,2257,2361,2249
(15*20),Scheduling time,0.35,0.35,0.75,0.65,0.51,0.75,0.68,0.7,1.51,1.2,1.75,2.61,7.11,1.47,1.54,4.04,1.43,10.44,59.48,3.12,1548.53,1.6,,0.52,0.49,0.43,0.35
,Standard deviation,0,0,0,0,0,0,0,0,100.98,55.59,0,0,0,8.57,0,0,0,81.75,93.7,92.4,65.53,6.47,,83.86,66.82,81.48,74.62
swv11,MAKESPAN,4439,3746,4029,4763,3928,4642,3714,3834,4151,4494,4015,4171,4015,3761,4015,3714,3757,3534,5528,5553,5608,3420,2983,4630,3616,4276,3641
(10*50),Scheduling time,1.16,1.1,2.08,2.47,2.27,2.05,2.08,2.04,9.48,2.15,10.14,10.11,30.25,7.48,8.92,31.1,8.16,59.69,70.93,3.12,1624.17,10.57,,1.57,1.38,1.3,0.99
,Standard deviation,0,0,0,0,0,0,0,0,161.3,54.37,0,0,0,30.78,0,0,0,80.79,105.77,138.11,82.98,0,,88.61,90.47,81.17,98.96
swv12,MAKESPAN,4594,4008,3889,4503,3761,4821,3759,3756,4181,4747,3717,4047,3717,3906,3717,3759,3905,3459,5532,5575,5628,3459,2977,4530,3591,4578,3588
(10*50),Scheduling time,1.14,1.05,2.1,2.36,2.16,2.38,1.86,1.63,8.98,2.15,9.09,9.79,30.65,7.85,9.4,29.78,8.29,59.2,55.98,3.11,1625.84,9.82,,1.53,1.41,1.39,0.99
,Standard deviation,0,0,0,0,0,0,0,0,153.52,56.11,0,0,0,13.83,0,0,0,45.04,115.85,180.83,88.44,0,,123.99,72.81,79.98,64.55
swv13,MAKESPAN,4752,4046,4069,4467,3955,4755,3657,3842,4213,4835,3730,3923,3730,4165,3730,3657,4164,3687,5673,5717,5761,3687,3104,4548,3714,4557,3710
(10*50),Scheduling time,1.06,1.14,1.82,2,1.94,2.12,2,1.99,7.72,2.13,8.7,8.83,28.79,7.1,7.91,29.7,7.21,65.4,53.55,3.44,1628.75,9.57,,1.51,1.4,1.35,0.99
,Standard deviation,0,0,0,0,0,0,0,0,151.38,102.09,0,0,0,3.27,0,0,0,113.9,128.92,184.61,99.22,0,,121.29,64.87,82.84,73.58
swv14,MAKESPAN,4493,3639,3695,4632,3802,4740,3506,3630,4008,4636,3764,3757,3764,3736,3764,3506,3730,3487,5449,5457,5495,3487,2968,4583,3504,4324,3504
(10*50),Scheduling time,1.12,1.02,1.74,2.48,2.13,2.27,1.81,1.7,8.01,2.18,8.1,8.44,28.81,7.31,7.02,27.83,7.39,61.04,63.81,4.33,1624.34,9.7,,1.53,1.39,1.23,0.99
,Standard deviation,0,0,0,0,0,0,0,0,162.62,59.23,0,0,0,43.54,0,0,0,52.05,101.01,164.41,109.99,0,,85.32,77.95,72.46,77.21
swv15,MAKESPAN,4617,3665,3919,4404,3690,4905,3501,3869,3962,4742,3701,4142,3701,3630,3701,3501,3630,3440,5504,5478,5594,3440,2885,4463,3477,4297,3483
(10*50),Scheduling time,1.07,1.08,1.98,2.23,2.12,2.21,1.92,1.91,7.6,2.1,8,11.54,28.31,6.66,7.35,26.85,6.43,63.39,63.75,4.57,1626.65,9.96,,1.53,1.39,1.11,0.98
,Standard deviation,0,0,0,0,0,0,0,0,136.83,68.91,3.38,0,0,0,0,0,0,123.09,121.11,173.42,93.22,0,,104.39,92.04,86.33,85.19
swv16,MAKESPAN,3024,3413,3520,3416,3133,2924,3453,3453,3223,2937,3265,3169,3265,3325,3265,3453,3327,2966,3763,3912,3808,2924,2924,3422,3381,3000,3376
(10*50),Scheduling time,0.95,1.09,1.76,2.29,2.3,1.78,2.01,2.21,6.93,2.07,8.28,8.97,27.06,7.37,6.57,22.55,7.44,51.01,64.33,4.52,1624.95,8.24,,1.36,1.34,0.94,0.97
,Standard deviation,0,0,0,0,0,0,0,0,133.8,28.29,0,0,0,9.99,0,0,0,50.9,62.25,95.01,60.04,0,,92.25,67.26,35.98,69.64
swv17,MAKESPAN,2896,3538,3219,3438,3105,2848,3082,3262,3067,2864,3288,3082,3288,3098,3288,3082,3106,2999,3673,3821,3732,2827,2794,3392,3096,2909,3084
(10*50),Scheduling time,0.96,0.98,1.65,1.77,1.9,1.73,1.91,1.8,7.72,1.98,8.32,9.55,27.42,7.57,6.66,24.06,7.69,55.7,59.52,4.49,1626.2,7.78,,1.34,1.31,0.93,1.05
,Standard deviation,0,0,0,0,0,0,0,0,111.75,42.27,0,0,0,23.1,0,0,0,44.7,72.17,89.94,63.58,6.3,,127.01,79.61,57.02,89.64
swv18,MAKESPAN,2991,3609,3309,3591,3381,2852,3191,3095,3077,2962,3040,3009,3040,3410,3040,3191,3417,2916,3632,3804,3705,2852,2852,3421,3169,2985,3104
(10*50),Scheduling time,0.87,1.06,1.74,2.31,1.92,2.05,1.78,1.74,8.14,2,9.09,10.16,27.71,6.89,7.86,22.69,6.94,53.24,54.62,4.4,1624.92,7.82,,1.34,1.31,0.97,1.16
,Standard deviation,0,0,0,0,0,0,0,0,101.45,44.06,0,0,0,19.09,0,0,0,77.98,65.89,86.03,54.92,0,,112.86,60.67,46.95,71.24
swv19,MAKESPAN,3173,3341,3595,3889,3174,3060,3161,3805,3186,3137,3404,3261,3404,3353,3404,3161,3377,2935,3947,4082,4014,3060,2843,3662,3335,3119,3120
(10*50),Scheduling time,0.97,1.01,1.75,2.3,1.87,2.02,1.98,1.94,8.12,1.96,8.32,10,26.3,6.85,7.36,20.87,6.93,56.57,51.74,4.39,1625.34,8.41,,1.38,1.35,1.03,1.16
,Standard deviation,0,0,0,0,0,0,0,0,101.68,55.78,0,0,0,63.23,0,0,0,115.84,70.44,93.03,67.17,4.51,,117.75,67.23,60.46,95.54
swv20,MAKESPAN,2850,3306,3271,3592,3356,2851,3125,3181,3005,2868,3116,3019,3116,3253,3116,3125,3263,2850,3610,3766,3656,2823,2823,3548,3073,2883,3054
(10*50),Scheduling time,0.87,1.05,1.96,2.15,2.32,2.04,1.75,2.14,8.23,1.97,8.52,11.21,25.7,7.18,7.47,21.32,7.07,46.79,51.56,4.37,1624.5,8.56,,1.33,1.31,0.94,1.12
,Standard deviation,0,0,0,0,0,0,0,0,92.51,37.55,0,0,0,47.81,0,0,0,32.26,63.31,92.39,65.21,6.65,,102.89,83.83,44,68.75
yn1,MAKESPAN,1243,1129,1205,1115,1177,1045,1196,1188,1134,1097,1087,1239,1087,1230,1087,1196,1236,1032,1453,1568,1501,1045,884,1123,1153,1135,1122
(20*20),Scheduling time,0.35,0.32,0.52,0.63,0.56,0.7,0.72,0.58,1.09,1.51,1.32,1.81,7.92,1.11,1.07,3.06,1.15,8.44,43.37,4.47,1599.69,1.19,,0.42,0.44,0.31,0.38
,Standard deviation,0,0,0,0,0,0,0,0,54.1,38.72,0,0,0,21.18,0,0,0,90.71,46.59,45.06,28.04,6.02,,50.01,39.68,37.87,44.41
yn2,MAKESPAN,1165,1319,1446,1195,1225,1074,1256,1199,1175,1119,1138,1100,1138,1245,1138,1256,1229,1259,1492,1609,1534,1074,904,1167,1268,1150,1231
(20*20),Scheduling time,0.29,0.34,0.63,0.8,0.6,0.67,0.58,0.69,1.19,1.56,1.54,2.01,8,1.11,1.22,2.97,1.07,9.71,42.05,4.5,1599.19,1.2,,0.44,0.46,0.32,0.37
,Standard deviation,0,0,0,0,0,0,0,0,63.36,32.24,0.7,0,0,34.36,0,0,0,71.82,48.75,52.34,34.22,0.3,,43.2,73.12,38.62,63.31
yn3,MAKESPAN,1073,1276,1280,1159,1126,1100,1042,1207,1129,1084,1208,1064,1209,1186,1209,1042,1184,1112,1490,1607,1539,1059,892,1161,1089,1086,1059
(20*20),Scheduling time,0.3,0.41,0.66,0.63,0.67,0.6,0.58,0.69,1.22,1.61,1.43,2.1,7.97,1.19,1.24,2.88,1.16,7.96,45.42,4.47,1600.26,1.33,,0.44,0.43,0.32,0.38
,Standard deviation,0,0,0,0,0,0,0,0,69.85,24.21,7.86,0,0,8.31,0,0,0,32.83,52.73,48.96,29.5,7.01,,45.32,41.9,37.82,44.79
yn4,MAKESPAN,1217,1338,1296,1322,1346,1267,1273,1498,1225,1201,1376,1160,1376,1310,1376,1273,1311,1249,1608,1746,1670,1267,968,1246,1276,1235,1264
(20*20),Scheduling time,0.31,0.36,0.61,0.83,0.5,0.83,0.55,0.77,1.29,1.63,1.68,2.06,8.34,1.2,1.43,3.61,1.24,8.61,59.41,4.48,1599.51,1.34,,0.45,0.47,0.33,0.41
,Standard deviation,0,0,0,0,0,0,0,0,53.12,26.82,0,0,0,11.52,0,0,0,47.64,55.67,50.86,32.83,0,,62.92,62.37,55.8,53.7
,MAKESPAN,469,485,505,513,490,474,475,507,490,,477,484,303,488,303,475,502,467,,,,303,,508,467,486,475
5*5,Scheduling time,0.01,0.01,0.02,0.03,0.03,0.03,0.03,0.03,0.03,,0.04,0.04,0.33,0.03,0.04,0.05,0.04,,,,,0.03,,0.02,0.02,0.01,0.01
,Standard deviation,65.4,64.48,76.82,82.2,64.98,63.06,69.22,78.99,72.2,,75.42,79.98,74.77,76.7,74.77,70.68,68.49,,,,,66.88,,78.87,59.79,65.84,71.96
,MAKESPAN,773,759,794,792,775,755,753,783,773,,773,768,560,773,560,757,772,759,,,,560,,796,778,749,760
10*5,Scheduling time,0.03,0.03,0.05,0.06,0.05,0.06,0.05,0.06,0.06,,0.07,0.07,0.66,0.07,0.06,0.06,0.07,,,,,0.05,,0.03,0.04,0.03,0.03
,Standard deviation,81.23,78.21,95.6,79.7,83.78,70.1,82.3,93.84,93.89,,88.6,86.01,88.15,82.15,88.15,79.33,88.67,,,,,72.74,,91.65,90.68,76.03,79.44
,MAKESPAN,1064,1063,1070,1075,1026,1045,1051,1079,1050,,1049,1049,868,1047,868,1033,1048,1038,,,,801,,1056,1033,1047,1028
15*5,Scheduling time,0.05,0.05,0.09,0.1,0.1,0.1,0.09,0.1,0.1,,0.09,0.12,0.97,0.09,0.09,0.09,0.1,,,,,0.1,,0.06,0.07,0.05,0.05
,Standard deviation,88.23,99.55,95.96,110.5,81.79,93,86.83,95.95,89.98,,89.55,79.15,87.6,87.59,87.72,80.86,90.74,,,,,87.96,,91.86,88.07,84.28,88.31
,MAKESPAN,1326,1316,1351,1329,1315,1318,1319,1340,1337,,1346,1341,1106,1336,1106,1334,1336,1328,,,,1106,,1334,1320,1315,1338
20*5,Scheduling time,0.07,0.08,0.13,0.15,0.14,0.14,0.14,0.15,0.15,,0.13,0.19,1.31,0.13,0.15,0.12,0.15,,,,,0.15,,0.08,0.1,0.07,0.07
,Standard deviation,95.48,100.81,111.69,101.06,96.7,83.14,94.44,109.51,103.51,,99.24,98.17,99.24,99.15,99.24,95.58,97.92,,,,,90.56,,96.82,97.85,94.71,106.27
,MAKESPAN,740,799,833,832,774,714,754,811,778,,751,766,572,789,572,755,797,720,,,,545,,841,773,765,757
5*10,Scheduling time,0.03,0.04,0.06,0.07,0.07,0.05,0.06,0.07,0.09,,0.1,0.11,0.71,0.09,0.09,0.2,0.09,,,,,0.08,,0.04,0.04,0.03,0.03
,Standard deviation,71.09,96.4,95.34,79.29,83.9,67.44,80.37,100.47,99.66,,86.99,99.88,87.65,85.62,87.65,97.87,89.05,,,,,83.84,,92.88,91.48,94.5,81.22
,MAKESPAN,1028,1096,1126,1115,1043,990,1021,1111,1054,,1043,1038,854,1077,854,1017,1086,978,,,,807,,1110,1026,1056,1036
10*10,Scheduling time,0.06,0.07,0.12,0.14,0.13,0.12,0.13,0.12,0.15,,0.16,0.2,1.41,0.15,0.16,0.28,0.14,,,,,0.15,,0.07,0.08,0.06,0.06
,Standard deviation,85.76,99.81,121.31,101.73,105.24,75.13,98.48,114,107.45,,93.74,104.89,94.22,117.12,94.22,89.32,115.1,,,,,76.16,,112.32,105.79,103.16,100.25
,MAKESPAN,1320,1365,1419,1376,1310,1264,1293,1406,1343,,1324,1309,1069,1352,1069,1314,1358,1268,,,,1093,,1359,1303,1302,1290
15*10,Scheduling time,0.1,0.11,0.19,0.21,0.2,0.2,0.21,0.21,0.22,,0.22,0.29,2.16,0.25,0.24,0.38,0.21,,,,,0.23,,0.12,0.14,0.1,0.1
,Standard deviation,101.32,124.16,118.18,108.65,110.45,84.44,110.66,126,125.17,,100.15,95.1,99.95,105.03,99.95,113.84,108.85,,,,,75.95,,108.37,112.84,94.95,101.43
,MAKESPAN,1608,1602,1683,1648,1583,1564,1574,1671,1603,,1609,1594,1371,1642,1371,1574,1644,1552,,,,1354,,1652,1586,1575,1570
20*10,Scheduling time,0.15,0.17,0.28,0.33,0.31,0.29,0.29,0.3,0.34,,0.38,0.52,3.03,0.31,0.3,0.46,0.32,,,,,0.31,,0.17,0.21,0.15,0.15
,Standard deviation,104.06,99.91,150.18,107.93,105.87,79.74,108.59,127.11,109.42,,109,106.35,109,121.35,109,106.74,125.39,,,,,86.56,,121.92,109.14,107.67,109.97
,MAKESPAN,989,1127,1130,1156,1049,965,1044,1118,1046,,1060,1038,837,1081,837,1040,1093,959,,,,749,,1160,1034,1014,1042
5*15,Scheduling time,0.06,0.06,0.11,0.11,0.12,0.11,0.1,0.11,0.2,,0.18,0.23,1.22,0.17,0.17,0.4,0.17,,,,,0.17,,0.07,0.08,0.05,0.06
,Standard deviation,88.34,104.87,97.26,109.33,91.98,85.26,96.73,93.22,104,,93.4,97.28,92.93,100.44,92.93,95.55,94.58,,,,,73.51,,102.31,102.1,100.68,93
,MAKESPAN,1300,1405,1465,1452,1359,1226,1312,1459,1334,,1333,1323,1116,1402,1116,1291,1416,1213,,,,1077,,1436,1331,1283,1301
10*15,Scheduling time,0.11,0.13,0.22,0.23,0.23,0.23,0.22,0.23,0.34,,0.33,0.41,2.42,0.31,0.34,0.75,0.32,,,,,0.33,,0.13,0.15,0.11,0.11
,Standard deviation,92.6,120.83,126.97,131.02,111.19,90.62,125.67,132.08,104.66,,97.91,119.11,97.91,128.01,97.91,102.98,123.2,,,,,74.74,,111.79,118.96,96.74,101.91
,MAKESPAN,1577,1686,1742,1708,1643,1477,1556,1742,1617,,1627,1606,1308,1698,1308,1561,1707,1485,,,,1325,,1703,1584,1571,1585
15*15,Scheduling time,0.18,0.21,0.34,0.39,0.38,0.36,0.36,0.35,0.49,,0.64,0.88,3.85,0.49,0.52,1.16,0.49,,,,,0.5,,0.21,0.24,0.18,0.18
,Standard deviation,104.68,142.88,145.02,128.62,133.14,94.65,129.74,149.11,104.22,,118.53,130.56,118.53,140.38,118.53,109.51,137.95,,,,,80.06,,139.78,134.11,108.32,123.86
,MAKESPAN,1872,1955,2020,1960,1871,1758,1813,2011,1897,,1900,1919,1676,1925,1676,1830,1923,1747,,,,1600,,1953,1841,1838,1826
20*15,Scheduling time,0.26,0.3,0.5,0.54,0.55,0.52,0.53,0.54,0.67,,0.88,1.08,5.13,0.67,0.66,1.44,0.68,,,,,0.74,,0.3,0.35,0.26,0.25
,Standard deviation,114.82,138.07,144.53,123.33,125.72,74.58,120.65,139.94,132.87,,113.17,167.35,113.17,138.08,113.17,123.27,134.95,,,,,72.32,,141.9,127.54,111.31,136.74
,MAKESPAN,1249,1407,1443,1441,1334,1231,1295,1376,1307,,1349,1295,1133,1381,1133,1309,1387,1223,,,,1050,,1447,1331,1293,1294
5*20,Scheduling time,0.09,0.1,0.16,0.19,0.18,0.18,0.17,0.17,0.3,,0.32,0.31,1.82,0.31,0.31,0.74,0.27,,,,,0.35,,0.1,0.12,0.09,0.08
,Standard deviation,94.48,109.85,115.55,116.66,100.55,89.95,96.55,116.63,111.22,,98.24,107.36,98.02,106.12,98.02,112.63,101.45,,,,,89.45,,104.77,104.56,118.88,101.86
,MAKESPAN,1554,1732,1745,1772,1639,1454,1588,1740,1618,,1674,1570,1409,1729,1409,1573,1725,1458,,,,1310,,1785,1589,1558,1572
10*20,Scheduling time,0.18,0.2,0.33,0.4,0.38,0.35,0.37,0.36,0.65,,0.94,1.24,3.91,0.63,0.65,1.61,0.61,,,,,0.72,,0.21,0.25,0.18,0.2
,Standard deviation,96.59,143.81,120.58,133.23,105.67,92.96,117.8,128.49,134.46,,138.47,118.11,137.73,124.31,137.73,120.61,122.09,,,,,91.91,,131.85,115.56,120.19,133.06
,MAKESPAN,1836,1993,2078,2029,1948,1699,1847,2049,1902,,1944,1851,1670,2015,1670,1851,2014,1718,,,,1488,,2014,1835,1819,1863
15*20,Scheduling time,0.29,0.33,0.55,0.64,0.62,0.58,0.58,0.61,1,,1.38,1.66,5.81,0.95,1,2.75,1.01,,,,,1.15,,0.34,0.39,0.29,0.34
,Standard deviation,122.97,147.12,140.84,146.71,130.44,80.44,140.62,141.73,139.68,,133.66,141.82,133.64,147.86,133.64,118.62,148.65,,,,,95.25,,148.83,127.18,110.25,145
,MAKESPAN,2111,2275,2372,2305,2220,1968,2106,2330,2154,,2184,2122,1886,2282,1886,2102,2284,1964,,,,1750,,2276,2098,2110,2093
20*20,Scheduling time,0.41,0.47,0.81,0.92,0.87,0.86,0.83,0.85,1.44,,1.81,2.18,7.41,1.33,1.39,3.66,1.37,,,,,1.54,,0.46,0.56,0.41,0.49
,Standard deviation,110.28,165.68,184.64,165.32,121.15,77.99,136.45,171.37,132.68,,138.1,163.96,138.1,150.71,138.1,128.55,152.24,,,,,80.82,,158.65,153.74,111.27,131.26
,MAKESPAN,1754,2022,2038,2061,1883,1760,1870,1972,1874,,1901,1853,1636,1949,1636,1868,1949,1761,,,,1557,,2025,1889,1779,1878
