,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIFO,LIFO,LOR,LPT,LTPT,MOR,SPT,STPT,Random_Random Strategy,SoTA-PPO,GAT,GNN,GKAT,MAX,AVG,Padding_Zero,Bellman,D3QPN,GWO,GA,DE,Transfer-D3QPN,Optimal_strategy,MOR+LPT,LOR+SPT,FCFS*S,SI/Q
,Standard deviation,0,0,0,0,0,0,0,0,74.95,36.23,7.04,0,0,34.1,0,0.9,0,15.06,38.99,45.7,34.95,7.07,,71.13,32.29,47.3,35.59
la09,MAKESPAN,1011,1089,1149,1183,1304,951,1045,1220,1069,974,1117,1072,1078,1084,1120,1045,1073,943,1021,1094,1063,952,951,1178,1122,1015,1060
(5*15),Scheduling time,0.05,0.07,0.09,0.18,0.18,0.1,0.12,0.09,0.14,0.27,0.16,0.16,1.3,0.14,0.14,0.43,0.13,1.39,32.67,3.07,1168.53,0.16,,0.09,0.08,0.07,0.07
,Standard deviation,0,0,0,0,0,0,0,0,72.39,22.12,18.01,0,4.18,21.37,0,0,0,6.73,41.43,40.89,28.37,8.36,,43.61,60.15,59.37,37.24
la10,MAKESPAN,1035,1132,1032,1132,1033,958,1049,1312,1060,983,1114,1042,1116,1131,1116,1049,1130,955,985,1048,1020,958,958,1116,1090,1041,1077
(5*15),Scheduling time,0.06,0.06,0.09,0.18,0.15,0.09,0.09,0.15,0.14,0.27,0.16,0.16,1.51,0.14,0.14,0.36,0.14,1.29,31.83,3.05,1157.45,0.16,,0.09,0.08,0.07,0.07
,Standard deviation,0,0,0,0,0,0,0,0,63.01,27.29,12.32,0,0,8.5,0,0.6,0,10.07,25.93,36.81,30.3,0.2,,31,78.75,39.62,64.19
la11,MAKESPAN,1229,1488,1586,1467,1416,1222,1473,1446,1336,1237,1314,1235,1314,1549,1314,1473,1556,1222,1330,1400,1371,1222,1222,1471,1494,1318,1435
(5*20),Scheduling time,0.09,0.1,0.14,0.16,0.24,0.21,0.25,0.21,0.24,0.37,0.24,0.27,2.46,0.23,0.22,0.63,0.25,2.18,32.95,3.02,1262.71,0.26,,0.14,0.12,0.11,0.11
,Standard deviation,0,0,0,0,0,0,0,0,64.11,29.21,2.49,0,0,12.41,0,0,0,16.22,40.67,45.19,34.12,0,,30.5,41.53,59.66,52.74
la12,MAKESPAN,1039,1329,1295,1240,1126,1039,1203,1358,1197,1088,1249,1066,1249,1497,1249,1202,1518,1037,1133,1195,1182,1039,1039,1245,1214,1168,1227
(5*20),Scheduling time,0.08,0.1,0.13,0.13,0.18,0.26,0.17,0.14,0.21,0.36,0.23,0.24,2.61,0.23,0.19,0.6,0.23,1.76,33.29,3,1263.87,0.25,,0.13,0.11,0.1,0.1
,Standard deviation,0,0,0,0,0,0,0,0,91.4,31.45,0,0,0,57.35,0,7.98,0,2.06,46.59,44.06,34.12,0,,38.06,44.31,52.17,48.23
la13,MAKESPAN,1160,1519,1320,1230,1252,1150,1275,1267,1250,1166,1235,1270,1235,1471,1235,1276,1502,1151,1261,1335,1312,1151,1150,1278,1338,1234,1289
(5*20),Scheduling time,0.08,0.11,0.17,0.14,0.15,0.19,0.14,0.13,0.23,0.37,0.24,0.25,2.61,0.25,0.22,0.74,0.27,2.21,34.34,3.01,1266.49,0.28,,0.13,0.12,0.11,0.11
,Standard deviation,0,0,0,0,0,0,0,0,61.24,30.85,3.15,0,0,77.53,0,5.46,0,9.65,49.43,47.82,35.73,3.64,,54.77,73.46,54.37,34.79
la14,MAKESPAN,1321,1505,1567,1434,1419,1292,1427,1646,1374,1292,1543,1321,1547,1596,1547,1427,1646,1292,1321,1377,1352,1292,1292,1405,1518,1426,1463
(5*20),Scheduling time,0.09,0.1,0.16,0.15,0.17,0.25,0.17,0.17,0.24,0.38,0.26,0.26,2.61,0.26,0.25,0.67,0.24,2.2,36.6,3.01,1256.92,0.27,,0.13,0.13,0.12,0.11
,Standard deviation,0,0,0,0,0,0,0,0,82.95,9.08,17.54,0,0,111.19,0,3.48,0,2.17,29.19,43.96,28.41,0,,49.51,54.27,51.37,51.98
la15,MAKESPAN,1471,1519,1598,1612,1394,1436,1339,1632,1461,1488,1506,1606,1504,1389,1504,1339,1384,1241,1449,1527,1498,1336,1207,1596,1356,1429,1366
(5*20),Scheduling time,0.09,0.1,0.19,0.16,0.15,0.2,0.24,0.18,0.22,0.37,0.24,0.25,2.58,0.22,0.23,0.69,0.23,2.54,38.18,3.03,1262.79,0.26,,0.14,0.12,0.12,0.12
,Standard deviation,0,0,0,0,0,0,0,0,101.92,56.17,20.32,0,0,14.17,0,0,0,70.51,51.91,51.46,38.54,0,,43.43,47.28,61.87,42.97
la16,MAKESPAN,1297,1306,1119,1229,1165,1108,1156,1268,1172,1170,1373,1268,1374,1311,1374,1156,1387,1108,1138,1238,1206,1108,945,1219,1255,1144,1181
(10*10),Scheduling time,0.07,0.08,0.11,0.19,0.12,0.16,0.17,0.16,0.12,0.35,0.14,0.14,1.98,0.14,0.14,0.32,0.14,1.59,38.05,3.1,1262.78,0.14,,0.1,0.09,0.09,0.09
,Standard deviation,0,0,0,0,0,0,0,0,83.38,37.54,3.78,0,0,109.12,0,0,0,26.47,45.28,43.8,31.38,0,,51.31,79.4,37.05,66.2
la17,MAKESPAN,908,987,948,1082,993,844,924,1120,977,964,886,915,884,988,884,925,987,849,947,1072,1032,844,784,1074,956,1001,944
(10*10),Scheduling time,0.06,0.07,0.09,0.22,0.12,0.16,0.18,0.15,0.12,0.37,0.12,0.14,2.04,0.11,0.12,0.23,0.11,1.37,37.05,3.1,1266.19,0.12,,0.09,0.08,0.08,0.08
,Standard deviation,0,0,0,0,0,0,0,0,69.37,23.86,10.19,0,0,6.89,0,6.57,0,30.98,46.38,48.57,30.15,30.87,,64.06,44.75,70.86,30.97
la18,MAKESPAN,1057,1178,1154,1114,1198,942,981,1111,1068,1002,1203,942,1206,1031,1206,981,1033,932,1040,1149,1109,942,848,1099,998,1029,998
(10*10),Scheduling time,0.06,0.08,0.1,0.1,0.19,0.14,0.13,0.15,0.12,0.36,0.13,0.14,2.06,0.13,0.13,0.23,0.13,1.64,37.27,3.07,1263.47,0.12,,0.09,0.08,0.08,0.08
,Standard deviation,0,0,0,0,0,0,0,0,87.46,26.01,13.76,0,0,17.11,0,1.49,0,59.53,47.46,43.06,30.08,1.69,,72.55,27.92,35.36,31.73
la19,MAKESPAN,1062,992,1004,1062,1004,1088,940,981,1016,1083,999,1041,999,994,999,941,992,927,1066,1182,1142,952,842,1068,950,963,957
(10*10),Scheduling time,0.06,0.07,0.11,0.1,0.11,0.1,0.1,0.12,0.12,0.37,0.13,0.14,2.05,0.11,0.13,0.25,0.11,1.39,35.79,3.04,1263.92,0.12,,0.1,0.09,0.08,0.08
,Standard deviation,0,0,0,0,0,0,0,0,50.03,45.69,2.09,0,0,25.7,0,3.75,0,23.28,50.27,48.2,35.25,19.03,,40.31,27.52,32.9,41.09
la20,MAKESPAN,1243,1092,1207,1272,1086,1130,1000,1201,1160,1099,1249,1116,1250,1103,1250,1000,1092,1026,1118,1235,1185,1026,902,1210,1022,1223,1023
(10*10),Scheduling time,0.15,0.07,0.14,0.11,0.16,0.13,0.1,0.15,0.12,0.36,0.15,0.13,2.09,0.14,0.14,0.24,0.13,1.51,33.19,3,1267.89,0.13,,0.09,0.09,0.09,0.08
,Standard deviation,0,0,0,0,0,0,0,0,95.51,52.64,10.35,0,0,25.84,0,0,0,48.74,52.27,44.45,31.26,29.4,,40.92,56.53,37.61,56.19
